date,low,open,volume,high,close,adjustedclose,rsi,BBB_5_2.0,BBP_5_2.0,ema7,day_direction,golden_crossover_short,death_crossover_short,golden_crossover_long,death_crossover_long,RSI_overbought_cross,RSI_oversold_cross,RSI_overbought,RSI_oversold,momentum,psr,ir,ffer,sp500_return,sp500_BBB_5_2.0,sp500_BBP_5_2.0
2013-03-15,13.68000030517578,14.5600004196167,2912700,14.600000381469727,13.81999969482422,13.81999969482422,29.74050781382504,24.410206335263005,0.13395791064967646,15.216226443086741,0,0,0,0,0,0,1,0,1,-2.6300010681152326,5.9,1.9575,0.143548387,-0.0016184438630272302,1.0193897433933214,0.7059676230114901
2013-03-18,13.43000030517578,13.65999984741211,554400,14.210000038146973,14.18000030517578,14.18000030517578,35.150569084890996,19.03628065642758,0.31004198010458417,14.957169908609002,1,0,1,0,0,0,0,0,0,-2.0200004577636737,5.9,1.9575,0.143548387,-0.005510347920804848,1.1624419961657888,0.2509760052089769
2013-03-19,13.920000076293945,14.199999809265135,451900,14.3100004196167,13.970000267028807,13.970000267028807,33.52870385986857,12.476310369615016,0.2953712380137861,14.710377498213953,0,0,0,0,0,0,0,0,0,-2.210000038146971,5.9,1.9575,0.143548387,-0.002422524321886499,1.40913128643015,0.1607209131142434
2013-03-20,13.880000114440918,14.050000190734865,337200,14.220000267028807,14.0,14.0,33.997222969062854,8.846843398374354,0.3896675906069705,14.532783123660465,1,0,0,0,0,0,0,0,0,-2.1900005340576136,5.9,1.9575,0.143548387,0.006697495382151253,1.4247013006682356,0.5944216023996027
2013-03-21,13.75,13.899999618530273,481300,14.029999732971193,14.0,14.0,33.997222969062854,3.2720561522074787,0.5131034231345157,14.399587342745349,0,0,0,0,0,0,0,0,0,-2.8099994659423864,5.9,1.9575,0.143548387,-0.008282490007762933,1.4847395787540154,0.1821326799270076
2013-03-22,13.760000228881836,13.989999771118164,290500,14.06999969482422,14.0,14.0,33.99722296906285,2.163784508577738,0.40117854824791177,14.299690507059012,0,0,0,0,0,0,0,0,0,-2.879999160766598,5.9,1.9575,0.143548387,0.007174278690645686,1.2628747284985589,0.7306617611444848
2013-03-25,13.770000457763672,14.020000457763672,106100,14.130000114440918,13.890000343322756,13.890000343322756,32.93413924360242,1.2199947468011332,0.01894344241430463,14.197267966124947,0,0,0,0,0,0,0,0,0,-2.6099996566772443,5.9,1.9575,0.143548387,-0.0033399919069426747,1.2648025458331529,0.4696434936683338
2013-03-26,13.899999618530273,13.960000038146973,382800,14.15999984741211,14.100000381469727,14.100000381469727,36.98529254512705,1.8989282963165088,0.8837307646370073,14.172951069961142,1,0,0,0,0,0,0,0,0,-1.75,5.9,1.9575,0.143548387,0.007785060160212298,1.5817857216628102,0.841345312151673
2013-03-27,13.989999771118164,13.989999771118164,211800,14.260000228881836,14.1899995803833,14.1899995803833,38.694445588782855,2.8984120548970282,0.8785435726224355,14.177213197566681,1,0,0,0,0,0,0,0,0,-0.8000001907348633,5.9,1.9575,0.143548387,-0.0005883218120312782,1.7452129803370653,0.7448543364129471
2013-03-28,14.15999984741211,14.229999542236328,340700,14.850000381469727,14.609999656677244,14.609999656677244,46.04866574504967,6.983354201821482,0.957164115953382,14.285409812344323,1,0,0,0,0,0,0,0,0,-0.1100006103515625,5.9,1.9575,0.143548387,0.004056691301148607,1.5446923509569424,0.8447423034504699
2013-04-01,13.979999542236328,14.56999969482422,185700,14.699999809265135,14.039999961853027,14.039999961853027,39.179478016860095,6.848407920302511,0.37012254611186846,14.224057349721498,0,0,0,0,0,0,0,0,0,0.22000026702880682,6.2,1.759090909,0.145,-0.0044736456388327905,1.4570518104826158,0.5103698942939987
2013-04-02,13.619999885559082,14.130000114440918,243300,14.25,13.8100004196167,13.8100004196167,36.79437678087631,7.408295115718921,0.17565764428899103,14.120543117195298,0,0,0,0,0,0,0,0,0,-0.36999988555908025,6.2,1.759090909,0.145,0.005172292388152311,0.8639518048653932,0.840370745549676
2013-04-03,13.140000343322756,13.8100004196167,463200,13.93000030517578,13.329999923706055,13.329999923706055,32.366071446789,12.0896707936148,0.10639934431603791,13.922907318822988,0,0,0,0,0,0,0,0,0,-0.6400003433227521,6.2,1.759090909,0.145,-0.0105460913867218,1.5189535272860422,0.08148801121870147
2013-04-04,13.300000190734865,13.300000190734865,243100,13.600000381469727,13.479999542236328,13.479999542236328,34.99882650542617,13.05676787533437,0.2932425557582034,13.812180374676323,1,0,0,0,0,0,0,0,0,-0.5200004577636719,6.2,1.759090909,0.145,0.004048426648816772,1.5664817976556782,0.37437200155966
2013-04-05,12.960000038146973,13.100000381469727,320200,13.25,13.050000190734865,13.050000190734865,31.244116349932273,10.32283675153278,0.14804829609042844,13.621635328690958,0,0,0,0,0,0,0,0,0,-0.9499998092651349,6.2,1.759090909,0.145,-0.004294926858036674,1.6000426112210488,0.2358030042337437
2013-04-08,12.970000267028807,13.050000190734865,210900,13.489999771118164,13.449999809265135,13.449999809265135,37.91642477422679,7.31730580490994,0.5264689915996691,13.578726448834503,1,0,0,0,0,0,0,0,0,-0.5500001907348651,6.2,1.759090909,0.145,0.006302791512154959,1.619384193140213,0.6193828135881657
2013-04-09,13.369999885559082,13.520000457763672,112300,13.600000381469727,13.420000076293945,13.420000076293945,37.62154474278727,4.683999115524132,0.6183763058437416,13.539044855699364,0,0,0,0,0,0,0,0,0,-0.47000026702881037,6.2,1.759090909,0.145,0.0035443070367928713,1.487248477327841,0.8829805382584623
2013-04-10,13.40999984741211,13.510000228881836,396500,14.470000267028807,14.399999618530273,14.399999618530273,51.02182181525872,13.21717802878783,0.9686846642893605,13.754283546407091,1,0,0,0,0,0,0,0,0,0.2999992370605469,6.2,1.759090909,0.145,0.012189135604133705,2.9869477494922183,0.9529877524411422
2013-04-11,14.039999961853027,14.25,127200,14.300000190734865,14.0600004196167,14.0600004196167,47.230922135332506,14.209503521970014,0.6976030648187905,13.830712764709492,0,0,0,0,0,0,0,0,0,-0.12999916076660156,6.2,1.759090909,0.145,0.003552241250086574,3.8365680308513124,0.8339775595023777
2013-04-12,13.56999969482422,13.979999542236328,96900,13.989999771118164,13.779999732971193,13.779999732971193,44.31104732839543,10.769800951803553,0.4717854727150752,13.818034506774918,0,0,0,0,0,0,0,0,0,-0.8299999237060511,6.2,1.759090909,0.145,-0.0028367548027137253,3.0639306294039015,0.6760426216641607
2013-04-15,13.350000381469727,13.68000030517578,284100,13.68000030517578,13.449999809265135,13.449999809265135,41.08713590421466,10.769800951803553,0.25010099944955183,13.726025832397472,0,0,0,0,0,0,0,0,0,-0.5900001525878924,6.2,1.759090909,0.145,-0.022966296377883392,3.9167662086794617,0.08222905971562494
2013-04-16,13.390000343322756,13.5600004196167,184600,13.729999542236328,13.520000457763672,13.520000457763672,42.0502888756811,10.176533853390891,0.2714103631088135,13.674519488739023,1,0,0,0,0,0,0,0,0,-0.28999996185302734,6.2,1.759090909,0.145,0.014307248318689013,3.7707343987470394,0.41930023140794986
2013-04-17,13.09000015258789,13.380000114440918,269700,13.4399995803833,13.220000267028807,13.220000267028807,39.099990534635744,8.49131706526692,0.16589603474056724,13.56088968331147,0,0,0,0,0,0,0,0,0,-0.10999965667724787,6.2,1.759090909,0.145,-0.01432772121912651,4.4537443211147085,0.2112099718128352
2013-04-18,12.90999984741211,13.229999542236328,158500,13.260000228881836,13.0,13.0,37.04722657880108,7.940933537083746,0.12956294470156493,13.420667262483601,0,0,0,0,0,0,0,0,0,-0.4799995422363281,6.2,1.759090909,0.145,-0.0067009877513676255,4.417047255252925,0.20618494889345312
2013-04-19,12.869999885559082,13.029999732971193,121500,13.149999618530273,13.020000457763672,13.020000457763672,37.369149633952006,6.462867968800001,0.24059783692285144,13.320500561303618,1,0,0,0,0,0,0,0,0,-0.029999732971193183,6.2,1.759090909,0.145,0.008847892787410716,2.765727319236908,0.5020924643742491
2013-04-22,12.779999732971193,13.06999969482422,154000,13.239999771118164,13.039999961853027,13.039999961853027,37.71215781093219,5.968605576769657,0.34722459796513183,13.25037541144097,1,0,0,0,0,0,0,0,0,-0.4099998474121076,6.2,1.759090909,0.145,0.004661629963028435,2.8223183208114486,0.6208679129455476
2013-04-23,13.15999984741211,13.15999984741211,137600,13.640000343322756,13.59000015258789,13.59000015258789,46.405119547553234,6.750116842522871,0.967804461767736,13.3352815967277,1,0,0,0,0,0,0,0,0,0.1700000762939453,6.2,1.759090909,0.145,0.010419200000000071,3.1738207911482137,0.9196235798451632
2013-04-24,13.4399995803833,13.460000038146973,72900,13.699999809265135,13.619999885559082,13.619999885559082,46.840913524271635,8.66232282543901,0.8187861955640204,13.406461168935547,1,0,0,0,0,0,0,0,0,-0.7799997329711914,6.2,1.759090909,0.145,6.334004737817977e-06,3.646147378541608,0.7702296958206798
2013-04-25,13.59000015258789,13.699999809265135,97700,13.93000030517578,13.760000228881836,13.760000228881836,48.92798491781075,9.320731773621867,0.7833049381408026,13.494845933922118,1,0,0,0,0,0,0,0,0,-0.3000001907348633,6.2,1.759090909,0.145,0.004034735461967864,2.869675935946709,0.7895771257492622
2013-04-26,13.34000015258789,13.710000038146973,88500,13.710000038146973,13.5,13.5,45.365790701988736,7.276964462217752,0.4979644040570491,13.496134450441588,0,0,0,0,0,0,0,0,0,-0.2799997329711932,6.2,1.759090909,0.145,-0.0018420853415428427,1.9948000611807943,0.6508205933161276
2013-04-29,13.5,13.600000381469727,92500,13.93000030517578,13.90999984741211,13.90999984741211,51.37742886538414,4.204438435228916,0.906956923348987,13.599600799684218,1,0,0,0,0,0,0,0,0,0.46000003814697443,6.2,1.759090909,0.145,0.007186014763878924,1.3869987310058542,0.9504209040750616
2013-04-30,12.640000343322756,13.75,453000,13.75,13.729999542236328,13.729999542236328,48.83675344659056,4.021669814707738,0.5471751837044702,13.632200485322246,0,0,0,0,0,0,0,0,0,0.20999908447265625,6.2,1.759090909,0.145,0.002484924165887525,1.7736472142777655,0.8585712620018645
2013-05-01,13.09000015258789,13.630000114440918,221700,13.779999732971193,13.100000381469727,13.100000381469727,41.16408103013639,8.30432703059954,0.05728287557030313,13.499150459359116,0,0,0,0,0,0,0,0,0,-0.11999988555908025,6.4,1.928181818,0.109032258,-0.009307886352397654,1.5609025708627005,0.2758875741724772
2013-05-02,13.170000076293945,13.220000267028807,84100,13.59000015258789,13.59000015258789,13.59000015258789,48.006219472526325,7.991809223384308,0.5221369283131243,13.52186288266631,1,0,0,0,0,0,0,0,0,0.5900001525878906,6.4,1.928181818,0.109032258,0.009407973715801932,1.7374060988606026,0.7477779538216084
2013-05-03,13.75,13.75,225400,14.100000381469727,13.8100004196167,13.8100004196167,50.77414619132871,8.335774676899476,0.660211664166376,13.593897266903907,1,0,0,0,0,0,0,0,0,0.7899999618530273,6.4,1.928181818,0.109032258,0.01053461776801323,2.553899171751825,0.9226983708864588
