,Model Type,Train RMSE,Cross-Val RMSE,Test RMSE,Train Accuracy,Test Accuracy,Normality of Residuals,company
0,Elastic Net,-2.317890070892788,-4.734436749423072,-5.671128075328411,0.5339265850945495,0.5177777777777778,1.3399982475439948e-54,HRB
1,SVR,-9.634008505669328,-16.86290850019363,-21.347417586510158,0.4905450500556173,0.5311111111111111,2.3256670437983065e-87,HRB
2,Ridge,3.9027867274959123,-4.399724659278996,9.030130100821136,0.5239154616240267,0.5288888888888889,6.2548093449017156e-21,HRB
0,Elastic Net,-2.473025038500872,-8.363451405532532,-21.651696782649978,0.525027808676307,0.6133333333333333,5.206299644820768e-21,RIBT
1,SVR,-7.0894432624981185,-34.57320508232282,-6409383.043195609,0.4688542825361513,0.4288888888888889,0.0,RIBT
2,Ridge,3.751913582169139,-4.603154596276275,29.099789894659942,0.4944382647385984,0.5355555555555556,1.2294276146423606e-150,RIBT
0,Elastic Net,-6.805029935770889,-17.31926721380611,-34.20906150255492,0.5155728587319244,0.5311111111111111,3.035466818451869e-08,VFC
1,SVR,-0.579504286106477,-11.312041050708377,-6.289174768613323,0.4771968854282536,0.5422222222222223,0.0,VFC
2,Ridge,7.159512375107757,-20.910560923836368,30.971376359437954,0.5100111234705228,0.5311111111111111,2.5167913887163543e-06,VFC
0,Elastic Net,-9.588586777814575,-16.482602516989914,-29.7045109402294,0.525027808676307,0.4888888888888889,5.919154832267891e-37,APA
1,SVR,-4.20375064974053,-52.716664565571556,-196.97934379744112,0.5050055617352615,0.4688888888888889,1.1910368619535735e-32,APA
2,Ridge,8.192433707380511,-16.77621239788111,18.096052499698025,0.5100111234705228,0.4866666666666667,1.7337834145884753e-41,APA
0,Elastic Net,-6.0538401467055385,-5.973570504949677,-16.76776735660502,0.5022246941045606,0.5133333333333333,4.6108824083165537e-94,EQIX
1,SVR,0.9921962653462643,-26.32136156374519,0.9219959212278931,0.5406006674082313,0.5266666666666666,2.5366090572626307e-144,EQIX
2,Ridge,5.898619761640566,-6.321580007851821,16.63519570897068,0.5044493882091212,0.5022222222222222,1.2762160818175593e-86,EQIX
