date,low,open,volume,high,close,adjustedclose,rsi,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,sma7,sma22,sma50,sma252,ema7,ema22,ema50,ema252,ema7zone,ema22zone,ema50zone,ema252zone,day_direction,golden_crossover_short,death_crossover_short,golden_crossover_long,death_crossover_long,RSI_overbought_cross,RSI_oversold_cross,RSI_overbought,RSI_oversold,momentum,psr,m2,ccpi,dspic,ir,ffer
1997-05-15,1.9270830154418943,2.4375,72156000,2.5,1.9583330154418943,1.9583330154418943,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,6.8,3866.45,169.2,8214.1,6.710952381,5.504193548
1997-05-16,1.7083330154418943,1.96875,14700000,1.9791669845581052,1.7291669845581057,1.7291669845581057,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,6.8,3866.45,169.2,8214.1,6.710952381,5.504193548
1997-05-19,1.625,1.7604169845581057,6106800,1.7708330154418943,1.7083330154418943,1.7083330154418943,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,6.8,3866.45,169.2,8214.1,6.710952381,5.504193548
1997-05-20,1.6354169845581057,1.7291669845581057,5467200,1.75,1.6354169845581057,1.6354169845581057,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,6.8,3866.45,169.2,8214.1,6.710952381,5.504193548
1997-05-21,1.375,1.6354169845581057,18853200,1.6458330154418943,1.4270830154418943,1.4270830154418943,,1.349949155099203,1.691666603088379,2.0333840510775545,40.40009389147031,0.11286204552413506,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,6.8,3866.45,169.2,8214.1,6.710952381,5.504193548
1997-05-22,1.3125,1.4375,11776800,1.4479169845581057,1.3958330154418943,1.3958330154418943,,1.2976154653849923,1.5791666030883789,1.8607177407917654,35.65819301810924,0.1744222219417454,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,6.8,3866.45,169.2,8214.1,6.710952381,5.504193548
1997-05-23,1.3333330154418943,1.40625,15937200,1.5208330154418943,1.5,1.5,,1.2927463583753245,1.5333332061767577,1.773920053978191,31.38089579385254,0.4307252111215384,1.6220237186976842,,,,1.6220237186976842,,,,0.24255956922258637,,,,1,0,0,0,0,0,0,0,0,,6.8,3866.45,169.2,8214.1,6.710952381,5.504193548
1997-05-27,1.4583330154418943,1.5104169845581057,8697600,1.6458330154418943,1.5833330154418943,1.5833330154418943,,1.3269990685137056,1.5083332061767578,1.68966734383981,24.044307573482154,0.7068000273740462,1.5684522901262556,,,,1.6123510428837369,,,,0.22879467691693978,,,,1,0,0,0,0,0,0,0,0,,6.8,3866.45,169.2,8214.1,6.710952381,5.504193548
1997-05-28,1.53125,1.625,4574400,1.6354169845581057,1.53125,1.53125,,1.350949957768842,1.4874998092651368,1.6240496607614316,18.3596462528293,0.6601986023985179,1.5401784351893835,,,,1.5920757821628027,,,,0.19763775382723114,,,,0,0,0,0,0,0,0,0,0,,6.8,3866.45,169.2,8214.1,6.710952381,5.504193548
1997-05-29,1.4791669845581057,1.5416669845581057,3472800,1.5416669845581057,1.5052080154418943,1.5052080154418943,,1.3806502702141372,1.5031248092651368,1.6255993483161364,16.29599063179274,0.5085046499986827,1.5111605780465263,,,,1.5703588404825757,,,,0.16385331537042336,,,,0,0,0,0,0,0,0,0,0,,6.8,3866.45,169.2,8214.1,6.710952381,5.504193548
